software,algorithm,pop_size,max_evals,fitness,fold,llm_model,reference_fitness_train,best_patch_fitness_train,change_perc_train,reference_fitness_validate,patch_fitness_validate,change_perc_validate,patch_length,search_time_minutes,Vt,Vc,llm_patches_requested,llm_malformed_patches,llm_missing_patches,llm_malformed_ratio,llm_missing_ratio,train_log,validate_log
minisat_hack,GeneticProgrammingUniformConcat,50.0,100,Perf<Cycles>,5,,13498884717.0,13309267832.0,-1.405,36055870200.0,36151455832.0,0.265,1,9.81675,0.46,0.55,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474694_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993306_FOLD5-val_1780474694_GeneticProgrammingUniformConcat.log
minisat_hack,FirstImprovement,,100,Perf<Cycles>,2,,48678371338.0,9737002644.0,-79.997,1249269159.0,1552961496.0,24.31,7,9.65245,0.48,0.59,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474689_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993302_FOLD2-val_1780474689_FirstImprovement.log
minisat_hack,GeneticProgrammingUniformConcat,50.0,100,Perf<Cycles>,3,,38019498878.0,37346061479.0,-1.771,11598906632.0,11645556472.0,0.402,1,11.240733333333331,0.57,0.64,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474693_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993307_FOLD3-val_1780474693_GeneticProgrammingUniformConcat.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,3,,37823786421.0,37361805542.0,-1.221,11597865560.0,11610576121.0,0.11,2,12.247616666666666,0.46,0.53,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474698_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993308_FOLD3-val_1780474698_UMDAAlgorithm_None.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,5,,13395445110.0,4970591387.0,-62.893,36235561572.0,6931606815.0,-80.871,2,13.40645,0.37,0.43,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474700_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993333_FOLD5-val_1780474700_UMDAAlgorithm_None.log
minisat_hack,GeneticProgrammingUniformConcat,50.0,100,Perf<Cycles>,1,,49474985905.0,41445005535.0,-16.23,295964646.0,303380141.0,2.506,2,13.893233333333336,0.59,0.67,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474691_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993296_FOLD1-val_1780474691_GeneticProgrammingUniformConcat.log
minisat_hack,FirstImprovement,,100,Perf<Cycles>,1,,49418514416.0,10429243259.0,-78.896,292531142.0,298509903.0,2.044,4,14.30135,0.38,0.48,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474690_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993297_FOLD1-val_1780474690_FirstImprovement.log
minisat_hack,FirstImprovement,,100,Perf<Cycles>,5,,13388349879.0,12633580598.0,-5.638,35909679173.0,35717404239.0,-0.535,5,15.497183333333334,0.36,0.52,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474699_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993332_FOLD5-val_1780474699_FirstImprovement.log
minisat_hack,GeneticProgrammingUniformConcat,50.0,100,Perf<Cycles>,2,,48596053391.0,45846834623.0,-5.657,1254842422.0,1333955048.0,6.305,1,15.077833333333333,0.49,0.55,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474686_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993298_FOLD2-val_1780474686_GeneticProgrammingUniformConcat.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,2,,48308445188.0,45281409398.0,-6.266,1250776882.0,1335356305.0,6.762,1,16.56905,0.43,0.51,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474696_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993303_FOLD2-val_1780474696_UMDAAlgorithm_None.log
minisat_hack,FirstImprovement,,100,Perf<Cycles>,4,,49715346841.0,10613104445.0,-78.652,288080562.0,45591132.0,-84.174,5,16.8239,0.45,0.55,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474692_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993301_FOLD4-val_1780474692_FirstImprovement.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,1,,49115870709.0,41140260265.0,-16.238,294368300.0,304922928.0,3.586,1,17.688566666666667,0.48,0.63,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474697_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993304_FOLD1-val_1780474697_UMDAAlgorithm_None.log
minisat_hack,GeneticProgrammingUniformConcat,50.0,100,Perf<Cycles>,4,,49294047978.0,11658230553.0,-76.35,288586569.0,287277886.0,-0.453,2,17.990416666666665,0.6,0.68,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474687_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993299_FOLD4-val_1780474687_GeneticProgrammingUniformConcat.log
minisat_hack,FirstImprovement,,100,Perf<Cycles>,3,,38093860592.0,34591410505.0,-9.194,11794687661.0,20574172166.0,74.436,5,18.696583333333333,0.45,0.57,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474688_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993300_FOLD3-val_1780474688_FirstImprovement.log
minisat_hack,UMDAAlgorithm,50.0,100,Perf<Cycles>,4,,48988550257.0,40638965217.0,-17.044,288782555.0,39910438.0,-86.18,2,20.947366666666667,0.49,0.59,,,,,,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780474695_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/minisat_hack_1780993305_FOLD4-val_1780474695_UMDAAlgorithm_None.log
