software,algorithm,n_runs,unique_locations,total_edits,diversity
minisat_hack,FI,25,136,236,0.576271186440678
minisat_hack,GP,25,53,91,0.5824175824175825
minisat_hack,RandomS,25,8,25,0.32
minisat_hack,UMDA4GI,25,32,48,0.6666666666666666
pngOptim,FI,25,89,137,0.6496350364963503
pngOptim,GP,25,53,73,0.726027397260274
pngOptim,RandomS,25,11,25,0.44
pngOptim,UMDA4GI,25,27,37,0.7297297297297297
sat4j,FI,25,102,130,0.7846153846153846
sat4j,GP,25,50,73,0.684931506849315
sat4j,RandomS,25,17,25,0.68
sat4j,UMDA4GI,25,33,39,0.8461538461538461
weka,FI,25,71,108,0.6574074074074074
weka,GP,25,47,56,0.8392857142857143
weka,RandomS,25,21,25,0.84
weka,UMDA4GI,25,35,39,0.8974358974358975
