software,variant,n_runs,unique_locations,total_edits,diversity,low_n
minisat_hack,LLM-llama3.1,25,25,49,0.5102040816326531,False
minisat_hack,LLM-qwen,25,27,52,0.5192307692307693,False
minisat_hack,UMDA4GI,25,32,48,0.6666666666666666,False
minisat_hack,UMDA4GI+llama3.1,25,30,58,0.5172413793103449,False
minisat_hack,UMDA4GI+qwen,25,38,60,0.6333333333333333,False
pngOptim,LLM-llama3.1,25,20,32,0.625,False
pngOptim,LLM-qwen,25,16,30,0.5333333333333333,False
pngOptim,UMDA4GI,25,27,37,0.7297297297297297,False
pngOptim,UMDA4GI+llama3.1,25,40,54,0.7407407407407407,False
pngOptim,UMDA4GI+qwen,25,38,52,0.7307692307692307,False
sat4j,LLM-llama3.1,25,36,48,0.75,False
sat4j,LLM-qwen,25,30,41,0.7317073170731707,False
sat4j,UMDA4GI,25,33,39,0.8461538461538461,False
sat4j,UMDA4GI+llama3.1,25,33,54,0.6111111111111112,False
sat4j,UMDA4GI+qwen,25,41,51,0.803921568627451,False
weka,LLM-llama3.1,25,22,33,0.6666666666666666,False
weka,LLM-qwen,24,28,31,0.9032258064516129,False
weka,UMDA4GI,25,35,39,0.8974358974358975,False
weka,UMDA4GI+llama3.1,25,27,40,0.675,False
weka,UMDA4GI+qwen,25,39,55,0.7090909090909091,False
